date,ticker,open,high,low,close,volume
2018-06-26,DJI,24281.890625,24384.2109375,24241.220703125,24283.109375,301130000
2018-06-27,DJI,24303.109375,24569.01953125,24115.8203125,24117.58984375,313790000
2018-06-28,DJI,24064.189453125,24308.16015625,23997.2109375,24216.05078125,305020000
2018-06-29,DJI,24323.9296875,24509.51953125,24269.7109375,24271.41015625,329070000
2018-07-02,DJI,24161.529296875,24319.419921875,24077.560546875,24307.1796875,244110000
2018-07-03,DJI,24359.390625,24444.880859375,24150.849609375,24174.8203125,160960000
2018-07-05,DJI,24285.8203125,24372.80078125,24177.439453125,24356.740234375,237670000
2018-07-06,DJI,24352.470703125,24520.2890625,24281.470703125,24456.48046875,219450000
2018-07-09,DJI,24519.19921875,24796.51953125,24518.4296875,24776.58984375,240580000
2018-07-10,DJI,24806.970703125,24945.380859375,24806.970703125,24919.66015625,235040000
2018-07-11,DJI,24789.48046875,24815.16015625,24663.8203125,24700.44921875,237370000
2018-07-12,DJI,24802.900390625,24939.970703125,24802.900390625,24924.890625,233150000
2018-07-13,DJI,24926.0703125,25043.2109375,24890.060546875,25019.41015625,255520000
2018-07-16,DJI,25025.580078125,25072.41015625,24979.640625,25064.359375,231270000
2018-07-17,DJI,25033.919921875,25155.390625,24989.609375,25119.890625,250450000
2018-07-18,DJI,25133.7890625,25215.3203125,25101.119140625,25199.2890625,252870000
2018-07-19,DJI,25139.150390625,25154.169921875,25052.619140625,25064.5,285760000
2018-07-20,DJI,25041.140625,25124.099609375,24986.349609375,25058.119140625,274080000
2018-07-23,DJI,25036.900390625,25081.44921875,24983.330078125,25044.2890625,228820000
2018-07-24,DJI,25092.4296875,25286.619140625,25092.4296875,25241.939453125,274940000
2018-07-25,DJI,25183.69921875,25432.869140625,25113.55078125,25414.099609375,273670000
2018-07-26,DJI,25468.55078125,25587.240234375,25463.16015625,25527.0703125,297530000
2018-07-27,DJI,25520.51953125,25580.220703125,25370.0703125,25451.060546875,329680000
2018-07-30,DJI,25439.3203125,25500.16015625,25287.380859375,25306.830078125,296880000
2018-07-31,DJI,25345.2109375,25490.98046875,25345.2109375,25415.189453125,348700000
